Poziom;Kategoria;English;Polski;English Sample;Translate English sample
A2;Rodzina i znajomi;mother;matka;My mother is the kindest person I know.;Moja mama jest najmilszą osobą, jaką znam.
A2;Rodzina i znajomi;father;ojciec;Yesterday my father fixed the broken chair.;Wczoraj mój tata naprawił zepsute krzesło.
A2;Rodzina i znajomi;sister;siostra;Does your sister like reading adventure books?;Czy twoja siostra lubi czytać książki przygodowe?
A2;Rodzina i znajomi;brother;brat;My brother will visit me next weekend.;Mój brat odwiedzi mnie w przyszły weekend.
A2;Rodzina i znajomi;grandmother;babcia;I think my grandmother cooks better than anyone else.;Uważam, że moja babcia gotuje lepiej niż ktokolwiek inny.
A2;Rodzina i znajomi;grandfather;dziadek;My grandfather often tells me funny jokes.;Mój dziadek często opowiada mi zabawne kawały.
A2;Rodzina i znajomi;aunt;ciocia;My aunt is coming to our house for Christmas dinner.;Moja ciocia przyjeżdża do nas na kolację wigilijną.
A2;Rodzina i znajomi;uncle;wujek;Is your uncle coming to the wedding?;Czy twój wujek przyjedzie na wesele?
A2;Rodzina i znajomi;cousin;kuzyn/kuzynka;My cousin and I went to the cinema yesterday.;Wczoraj poszedłem do kina z kuzynem.
A2;Rodzina i znajomi;parents;rodzice;My parents don’t let me go out late at night.;Moi rodzice nie pozwalają mi wychodzić późno w nocy.
A2;Rodzina i znajomi;child;dziecko;The child fell asleep during the car ride.;Dziecko zasnęło podczas jazdy samochodem.
A2;Rodzina i znajomi;children;dzieci;Children usually love playing outside in summer.;Dzieci zazwyczaj uwielbiają bawić się na dworze latem.
A2;Rodzina i znajomi;friend;przyjaciel;I met an old friend from school yesterday.;Wczoraj spotkałem starego kolegę ze szkoły.
A2;Rodzina i znajomi;best friend;najlepszy przyjaciel;My best friend knows all my secrets.;Mój najlepszy przyjaciel zna wszystkie moje sekrety.
A2;Rodzina i znajomi;neighbor;sąsiad;Our neighbor invited us to his garden party.;Nasz sąsiad zaprosił nas na imprezę w ogrodzie.
A2;Rodzina i znajomi;classmate;kolega/koleżanka z klasy;One of my classmates is very good at maths.;Jeden z moich kolegów z klasy jest bardzo dobry z matematyki.
A2;Rodzina i znajomi;boyfriend;chłopak;Her boyfriend gave her flowers for her birthday.;Jej chłopak dał jej kwiaty na urodziny.
A2;Rodzina i znajomi;girlfriend;dziewczyna;His girlfriend studies medicine at university.;Jego dziewczyna studiuje medycynę na uniwersytecie.
A2;Rodzina i znajomi;husband;mąż;Her husband works in another city during the week.;Jej mąż pracuje w innym mieście w ciągu tygodnia.
A2;Rodzina i znajomi;wife;żona;Tomorrow my wife will travel to Paris on business.;Jutro moja żona poleci służbowo do Paryża.
A2;Rodzina i znajomi;family;rodzina;Families often spend Sundays together at home.;Rodziny często spędzają niedziele razem w domu.
A2;Rodzina i znajomi;relative;krewny;We are going to visit our relatives in the countryside.;Jedziemy odwiedzić naszych krewnych na wsi.
A2;Rodzina i znajomi;twins;bliźnięta;The twins are wearing the same red jackets.;Bliźnięta mają na sobie takie same czerwone kurtki.
A2;Rodzina i znajomi;baby;niemowlę;The baby cried all night and nobody slept.;Niemowlę płakało całą noc i nikt nie spał.
A2;Rodzina i znajomi;teenager;nastolatek;Teenagers often use their phones too much.;Nastolatki często za dużo korzystają ze swoich telefonów.
A2;Rodzina i znajomi;adult;dorosły;Adults usually drink coffee in the morning.;Dorośli zazwyczaj piją kawę rano.
A2;Rodzina i znajomi;old man;starszy pan;The old man is walking slowly with a stick.;Starszy pan idzie powoli o lasce.
A2;Rodzina i znajomi;old woman;starsza pani;An old woman was selling flowers on the street.;Starsza pani sprzedawała kwiaty na ulicy.
A2;Rodzina i znajomi;colleague;współpracownik;My colleague helped me finish the report on time.;Mój współpracownik pomógł mi skończyć raport na czas.
A2;Rodzina i znajomi;partner;partner;She is looking for a new tennis partner.;Ona szuka nowego partnera do tenisa.
A2;Rodzina i znajomi;stepmother;macocha;His stepmother treated him with kindness.;Jego macocha traktowała go z życzliwością.
A2;Rodzina i znajomi;stepfather;ojczym;My stepfather showed me how to fix the bike chain.;Mój ojczym pokazał mi, jak naprawić łańcuch w rowerze.
